TEO-FM-Var,TEO-Auto-Env,TEO-CB-Auto-Env,filename
8.148940975251365e-09,7.400080199962017e-05,"[3.1903647760844913e-07, 6.758846390619847e-06, 1.307150181413404e-06]",YAF_wire_happy.wav
3.483437880161447e-09,2.340144238690727e-08,"[5.274654823426008e-10, 1.6972485428475463e-09, 2.015787300006173e-11]",OAF_fat_disgust.wav
2.912736216354002e-09,1.371483951905316e-08,"[1.083785021807403e-09, 1.0896821547269573e-09, 4.295036191210965e-12]",OAF_bought_happy.wav
2.4557913680781083e-09,4.4464750973930533e-10,"[1.4342673041021999e-11, 7.459791906570824e-12, 8.627050356665824e-13]",OAF_fit_neutral.wav
6.895127154054843e-09,1.0725405431595472e-05,"[1.0509178822631239e-07, 1.8938584406448206e-06, 7.266009353718698e-08]",YAF_dead_fear.wav
3.0556652070631995e-09,3.2823279720869477e-10,"[2.231000132220079e-11, 1.1015253606004794e-11, 2.43441136851457e-12]",OAF_join_neutral.wav
7.862236648545202e-09,0.00022411505408618694,"[4.4350173842208713e-07, 9.797497652036748e-06, 1.6594481314906938e-05]",YAF_hall_happy.wav
5.012091888658458e-09,5.431877405227842e-08,"[7.096257803007525e-10, 5.193885421009832e-10, 3.5542973697277985e-09]",YAF_hurl_neutral.wav
3.8133422338995025e-09,3.272354709494196e-07,"[1.7072993938780255e-08, 6.087623215478339e-08, 4.150437715723054e-10]",OAF_king_angry.wav
2.7515397463152997e-09,3.5725189470183105e-07,"[1.4971515302076477e-08, 3.52116875066099e-08, 1.389356982520304e-10]",OAF_rot_angry.wav
7.580093922992952e-09,1.3904344396888637e-06,"[1.4697961099030828e-08, 4.5328266710771266e-08, 9.75928840760092e-08]",YAF_hit_ps.wav
2.553053149218042e-09,5.339695925991196e-09,"[3.0217285552693887e-10, 3.617378893907429e-11, 1.7370408666695173e-12]",OAF_gaze_sad.wav
8.486277967571089e-09,6.664385165266539e-06,"[1.8893978863376934e-08, 9.115423922930263e-07, 2.0126099330745734e-07]",YAF_ripe_fear.wav
6.002063255679975e-09,9.495882093602299e-07,"[7.424079620766532e-09, 5.13868663605554e-08, 7.322986490652663e-08]",YAF_dog_neutral.wav
3.495563258695712e-09,2.6995263988596083e-07,"[6.9600894221309504e-09, 2.9852363619354125e-08, 1.383992907542393e-10]",OAF_hire_angry.wav
2.095635036261568e-09,4.510022397639913e-10,"[1.2049933699787605e-11, 1.0645272612565572e-12, 1.9287076792014284e-13]",OAF_neat_sad.wav
9.491290645987032e-09,5.67682104845539e-05,"[1.4104456694059233e-07, 2.984590262159104e-06, 6.328426453239261e-06]",YAF_gin_happy.wav
6.567541337083856e-09,1.6065656503297228e-07,"[7.154388020029356e-09, 4.419626728148965e-09, 2.4836868394674046e-09]",YAF_sub_neutral.wav
1.6270467155232724e-09,2.152011146707782e-09,"[7.413187878619993e-11, 1.4401888839266953e-11, 1.0247675020685845e-12]",OAF_mouse_sad.wav
2.708342856314044e-09,1.2393161474448969e-08,"[3.3960823963295607e-10, 1.060825790128563e-09, 1.703690230937432e-11]",OAF_ripe_disgust.wav
9.967251460301205e-09,2.949492516948562e-07,"[4.3046866908322005e-10, 1.2163170514686103e-08, 3.1044873975456794e-08]",YAF_date_disgust.wav
6.13438470720696e-09,7.493960144201482e-06,"[3.6633651412611805e-08, 9.874541102660815e-07, 5.3877470069006905e-08]",YAF_hall_fear.wav
3.2642782962342194e-09,5.059655220608716e-08,"[3.5190290335803032e-09, 3.817905393520831e-09, 1.0066031990991279e-10]",OAF_voice_disgust.wav
4.566533669654154e-09,1.172271538630167e-08,"[3.4599896867852273e-10, 9.032443101128735e-10, 4.400756900657438e-11]",YAF_laud_neutral.wav
9.05556184423275e-09,0.0007508461036149598,"[3.1700290887512214e-08, 1.6982616448919199e-06, 0.00019000075138500783]",YAF_numb_angry.wav
7.503944524958649e-09,2.4490795097352636e-05,"[5.906956074330756e-08, 2.1373278580955566e-06, 6.727469936350596e-07]",YAF_cause_fear.wav
7.55766277330971e-09,2.758301617029126e-05,"[9.113010430709272e-09, 4.414985492389294e-08, 6.5455663420042976e-06]",YAF_seize_angry.wav
9.074438380123088e-09,4.256209521970206e-07,"[1.9041982661780025e-09, 4.007147289036997e-08, 7.995747275373429e-08]",YAF_rag_disgust.wav
3.6478272789002846e-09,1.2039022311733268e-06,"[8.361641591159008e-08, 1.1253523502066389e-07, 9.918715764927867e-10]",OAF_take_angry.wav
2.6196671086446886e-09,1.0381141997250095e-09,"[5.707815184454021e-11, 2.2500304082758436e-12, 6.4095732781883665e-12]",OAF_page_sad.wav
4.674605359275009e-09,3.554272981366379e-07,"[4.561534099896514e-09, 1.0280812322824828e-09, 2.8683833906054313e-09]",YAF_dime_sad.wav
2.7139676419790574e-09,3.381415954862406e-08,"[5.24469774646165e-10, 4.872747113075193e-09, 2.1909950695469938e-11]",OAF_ripe_ps.wav
9.105055900894249e-09,0.00023844407547520127,"[5.3935224301422325e-09, 3.758476485397348e-07, 3.874556879174498e-05]",YAF_pick_angry.wav
3.5795574724405783e-09,2.64985622889948e-08,"[9.069891236316169e-10, 2.311103287086513e-09, 1.0580098779892726e-10]",OAF_take_ps.wav
2.8127770792513173e-09,2.669488878862011e-07,"[6.498875590676755e-09, 5.848476862672077e-08, 5.971822385586615e-11]",OAF_calm_angry.wav
2.524210262508318e-09,4.673144503487445e-08,"[8.66202724753164e-10, 1.878045333657682e-09, 1.9123496266188705e-11]",OAF_third_fear.wav
2.876333931097344e-09,1.447657874806044e-09,"[8.744129432712289e-11, 1.2384339366452032e-10, 1.2924096577969987e-12]",OAF_fall_neutral.wav
3.6964144535906064e-09,5.173435280622998e-08,"[1.5887665443861181e-09, 3.0248256151848685e-09, 1.3562942797409281e-10]",OAF_pain_ps.wav
8.984131525754818e-09,3.7856353600460795e-07,"[8.575103470364574e-10, 8.379733163978893e-08, 9.088875905299602e-09]",YAF_shack_neutral.wav
2.971874063115123e-09,2.3554976197996165e-08,"[9.050285944544043e-10, 7.491838546753058e-10, 1.4027961560726759e-11]",OAF_yes_fear.wav
5.894654309823261e-09,0.0002291133994379138,"[5.932079915454259e-07, 9.947658046288024e-06, 2.389773321341391e-06]",YAF_love_happy.wav
7.970424218252613e-09,6.585914902402521e-07,"[1.2676856377461618e-09, 2.8467433618934e-09, 2.6746373286881845e-07]",YAF_raise_disgust.wav
2.7292964038082425e-09,1.7999515692937765e-08,"[1.3310923479742975e-09, 3.75238023368019e-10, 9.564598759925265e-12]",OAF_peg_happy.wav
6.8646894286401725e-09,6.339962622758474e-05,"[2.2840592173037247e-07, 9.621589419063465e-07, 8.251904662012172e-06]",YAF_gaze_happy.wav
7.151394761954713e-09,2.342930159828125e-05,"[1.9934019335660013e-07, 1.987160766190443e-06, 1.22279529673059e-06]",YAF_kite_happy.wav
3.0066337877621234e-09,1.383885123794074e-07,"[3.8760404345106145e-09, 1.6030820698633528e-08, 3.270728746720509e-10]",OAF_rush_disgust.wav
3.283736490240078e-09,3.185499508107495e-08,"[5.020569355613248e-10, 1.2019457949100593e-08, 3.271264855885541e-11]",OAF_turn_ps.wav
5.3549203308320365e-09,5.509324875406264e-07,"[1.3601181566330892e-09, 2.1869293973248699e-10, 2.4437144014919697e-09]",YAF_turn_sad.wav
3.9033939692982835e-09,2.994284967819844e-08,"[1.002808225983226e-09, 5.689209034840311e-10, 8.538847850326276e-10]",OAF_sheep_disgust.wav
