mean_pitch,std_pitch,mean_energy,std_energy,duration,speech_rate,silence_duration,voiced_duration,unvoiced_duration,pitch_variation,filename
449.6102,381.89413,9.676556,11.913024,2.0756009070294783,0.06487938387021598,0.9403174603174603,0.6965986394557823,1.3931972789115645,17896.482,YAF_wire_happy.wav
1007.36505,1288.6991,0.32705277,0.5723031,2.3457596371882086,0.09747580664198569,1.9937868480725625,0.8823582766439909,1.486077097505669,47069.945,OAF_fat_disgust.wav
792.3863,1063.288,0.5885003,0.8564711,1.794920634920635,0.05902544712740235,1.3169614512471655,0.25541950113378686,1.555736961451247,13634.87,OAF_bought_happy.wav
708.0176,1036.0896,0.109406985,0.10757591,1.8616326530612244,0.15951385035673601,1.7066213151927438,0.4876190476190476,1.3931972789115645,12398.823,OAF_fit_neutral.wav
516.5325,480.63596,4.7213635,6.218035,1.650204081632653,0.054589692382861,0.8701133786848072,0.6733786848072563,0.9984580498866213,52227.867,YAF_dead_fear.wav
764.4624,1140.3434,0.11782337,0.11564093,2.2398639455782314,0.07284966722541385,2.0359637188208617,0.37151927437641724,1.8808163265306121,28190.357,OAF_join_neutral.wav
656.9146,584.795,11.151258,14.978863,1.9259410430839001,0.05862706894173847,0.7924716553287982,0.9520181405895691,0.9752380952380952,31792.021,YAF_hall_happy.wav
397.96124,646.68616,0.6511661,0.49909186,2.0825396825396827,0.08676786399837422,1.4374149659863946,0.301859410430839,1.787936507936508,9693.028,YAF_hurl_neutral.wav
698.30347,1015.3115,1.780856,3.1483302,1.6628571428571428,0.06268792727152316,1.0680725623582767,0.44117913832199546,1.230657596371882,27665.643,OAF_king_angry.wav
836.1943,934.35236,1.3579053,1.9602832,1.3717460317460317,0.07217183818015831,0.8385487528344672,0.301859410430839,1.0913378684807256,13237.198,OAF_rot_angry.wav
921.56396,1114.5126,1.3920571,1.7518277,1.8214512471655329,0.07589734018125233,1.1607256235827665,1.0681179138321995,0.7662585034013606,73944.375,YAF_hit_ps.wav
823.288,1254.6033,0.38282984,0.52382326,2.975873015873016,0.09810082363872602,2.3044897959183674,0.5340589569160997,2.461315192743764,27465.307,OAF_gaze_sad.wav
460.40256,530.5413,2.960479,3.6885355,1.659047619047619,0.05356975307851705,0.9491156462585034,0.8359183673469388,0.8359183673469388,36094.16,YAF_ripe_fear.wav
626.4547,808.04724,1.7534895,1.8698775,2.2030839002267575,0.042544491096277275,1.325124716553288,0.46439909297052157,1.7414965986394557,23396.723,YAF_dog_neutral.wav
748.42596,861.2513,1.0848229,1.4411057,1.5071201814058957,0.08393548581983157,1.0068480725623583,0.37151927437641724,1.1377777777777778,14314.599,OAF_hire_angry.wav
732.2823,1181.7146,0.08481461,0.103015795,2.6946485260770974,0.09362983461399091,2.5584580498866214,0.37151927437641724,2.345215419501134,9453.268,OAF_neat_sad.wav
